run,lumi,evtid 
1,1790,328059
1,1791,328222
1,1791,328235
1,1791,328242
1,1791,328253
1,1791,328270
1,1791,328290
1,1791,328376
1,1791,328386
1,2545,466487
1,2545,466537
1,2546,466735
1,2546,466769
1,2546,466765
1,2547,466924
1,2547,466986
1,1783,326797
1,1784,326912
1,1784,326986
1,1784,327020
1,1785,327102
1,1785,327217
1,1785,327271
1,1785,327298
1,1787,327531
1,1787,327538
1,1787,327560
1,1788,327746
1,1820,333536
1,1820,333583
1,1820,333681
1,1820,333700
1,1821,333769
1,1822,333941
1,1822,334049
1,1823,334158
1,1823,334297
1,1824,334362
1,1824,334383
1,2137,391602
1,2137,391634
1,2137,391741
1,2137,391796
1,2138,391985
1,2139,392106
1,2139,392181
1,2140,392221
1,2140,392297
1,2140,392365
1,2141,392505
1,2141,392584
1,2149,393807
1,2149,393898
1,2150,394080
1,2150,394077
1,2150,394087
1,2151,394320
1,2152,394404
1,2152,394457
1,2152,394486
1,2152,394548
1,2153,394628
1,2153,394631
1,2153,394683
1,2153,394702
1,2263,414710
1,2263,414729
1,2263,414848
1,2264,414934
1,2264,414964
1,2266,415409
1,2267,415522
1,2268,415729
1,2347,430279
1,2348,430366
1,2348,430434
1,2348,430485
1,2349,430511
1,2022,370605
1,2022,370622
1,1912,350468
1,1912,350496
1,1912,350538
1,1913,350686
1,1914,350813
1,1914,350840
1,1777,325612
1,1777,325640
1,1778,325805
1,1778,325821
1,1778,325835
1,1778,325839
1,1778,325856
1,1778,325902
1,1778,325956
1,1778,325966
1,1778,325984
1,1779,326025
1,1779,326039
1,1779,326121
1,1780,326267
1,1780,326296
1,1780,326333
1,1781,326408
1,1781,326492
1,1782,326644
1,1782,326697
1,2366,433648
1,2366,433672
1,2366,433783
1,2366,433796
1,2367,433848
1,2367,433907
1,2368,434148
1,2369,434208
1,2369,434273
1,2369,434296
1,2369,434328
1,2370,434464
1,2389,437868
1,2389,437933
1,2389,437970
1,2389,437972
1,2390,438059
1,2391,438248
1,2391,438319
1,2391,438317
1,2392,438506
1,2392,438589
1,2407,441129
1,2407,441263
1,2407,441290
1,2408,441350
1,2408,441362
1,2408,441393
1,2408,441434
1,2408,441474
1,2409,441594
1,2409,441603
1,2410,441859
1,2410,441864
1,2411,442065
1,2412,442117
1,2412,442133
1,2533,464397
1,2534,464523
1,2534,464530
1,2534,464532
1,2534,464537
1,2535,464677
1,2536,464836
1,2536,464879
1,2536,464932
1,2537,465189
1,2587,474113
1,2587,474191
1,2587,474190
1,2587,474262
1,2588,474323
1,2588,474434
1,2588,474461
1,2588,474468
1,2588,474482
1,2588,474478
1,2589,474507
1,2589,474520
1,2589,474536
1,2589,474602
1,2590,474739
1,2590,474762
1,2590,474811
1,2590,474851
1,2591,474934
1,2591,474950
1,2591,474971
1,2591,475046
1,2592,475130
1,2592,475182
1,2720,498510
1,2720,498567
1,2720,498662
1,2721,498704
1,2721,498793
1,2721,498794
1,2721,498894
1,2722,498946
1,2722,498997
1,2047,375111
1,2047,375218
1,2047,375297
1,2047,375298
1,2549,467272
1,2549,467339
1,2550,467411
1,2077,380710
1,2077,380748
1,2077,380752
1,2078,380849
1,2078,380909
1,2079,381069
1,2079,381079
1,2079,381123
1,2143,392708
1,2143,392794
1,2143,392805
1,2143,392876
1,2144,392909
1,2144,393058
1,2146,393341
1,2146,393364
1,2147,393567
1,2147,393596
1,2419,443484
1,2420,443501
1,2420,443540
1,2420,443570
1,2420,443630
1,2421,443851
1,2491,456537
1,2491,456651
1,2492,456733
1,2492,456726
1,2492,456749
1,2493,457003
1,2493,457035
1,2494,457104
1,2494,457107
1,2494,457130
1,2494,457148
1,2494,457288
1,2495,457493
1,2503,458783
1,2503,458779
1,2503,458807
1,2504,458965
1,2504,458966
1,2505,459228
1,2505,459229
1,2505,459290
1,2506,459340
1,2507,459510
1,2507,459519
1,2507,459662
1,2508,459745
1,2521,462127
1,2521,462107
1,2521,462195
1,2522,462275
1,2522,462317
1,2522,462346
1,2523,462573
1,2524,462636
1,2524,462716
1,2524,462792
1,2525,462836
1,2525,462882
1,2525,462936
1,2525,462995
1,2600,476640
1,2600,476625
1,2600,476653
1,2601,476724
1,2601,476879
1,2602,476921
1,2602,476918
1,2602,476917
1,2603,477117
1,2603,477187
1,2603,477212
1,2603,477236
1,2133,391092
1,2350,430747
1,2350,430868
1,2350,430891
1,2352,431129
1,2352,431170
1,2431,445654
1,2435,446322
1,2435,446433
1,2435,446499
1,2436,446564
1,2436,446581
1,2449,448815
1,2449,448877
1,2449,448946
1,2449,448957
1,2449,448989
1,2449,448984
1,2449,448991
1,2450,449001
1,2450,449095
1,2451,449283
1,2451,449271
1,2452,449468
1,2452,449523
1,2452,449583
1,2453,449705
1,2453,449764
1,2454,449866
1,2454,449873
1,2623,480795
1,2623,480842
1,2624,480914
1,2624,480949
1,2624,481009
1,2625,481155
1,2625,481173
1,2625,481240
1,2626,481458
1,2627,481572
1,2627,481619
1,2627,481637
1,2627,481663
1,2628,481762
1,2423,444104
1,2423,444180
1,2423,444211
1,2423,444227
1,2424,444312
1,2424,444352
1,2424,444369
1,2425,444480
1,2425,444509
1,2426,444724
1,2428,445143
1,2429,445238
1,2429,445362
1,2429,445360
1,2429,445376
1,2430,445450
1,2557,468727
1,2557,468759
1,2557,468776
1,2557,468794
1,2558,468964
1,2559,469028
1,2559,469148
1,2584,473620
1,2584,473625
1,2584,473670
1,2584,473691
1,2584,473703
1,2584,473776
1,2585,473910
1,2586,474012
1,2586,474048
1,2593,475218
1,2593,475240
1,2593,475324
1,2594,475439
1,2594,475588
1,2594,475582
1,2595,475675
1,2595,475782
1,2596,475864
1,2597,476074
1,2597,476118
1,2598,476243
1,2618,479804
1,2618,479928
1,2619,480061
1,2619,480126
1,2619,480163
1,2620,480229
1,2620,480254
1,2620,480369
1,2620,480389
1,2621,480412
1,2621,480407
1,2621,480479
1,2621,480486
1,2621,480588
1,2621,480598
1,2622,480683
1,2655,486731
1,2655,486733
1,2655,486781
1,51,9382
1,52,9474
1,52,9497
1,54,9879
1,67,12138
1,67,12297
1,68,12316
1,68,12424
1,69,12550
1,69,12573
1,70,12812
1,70,12880
1,71,12913
1,71,12933
1,72,13169
1,73,13384
1,73,13383
1,74,13489
1,75,13604
1,75,13661
1,75,13779
1,75,13783
1,76,13882
1,76,13878
1,77,14052
1,77,14094
1,77,14194
1,78,14238
1,79,14386
1,79,14415
1,79,14481
1,80,14516
1,80,14586
1,80,14633
1,81,14731
1,81,14852
1,83,15145
1,85,15436
1,85,15490
1,85,15527
1,85,15569
1,85,15600
1,86,15660
1,86,15689
1,87,15856
1,88,16016
1,88,16051
1,88,16095
1,88,16177
1,89,16206
1,89,16246
1,89,16306
1,89,16360
1,90,16410
1,90,16403
1,90,16481
1,205,37446
1,206,37607
1,206,37628
1,206,37641
1,206,37689
1,207,37840
1,207,37940
1,208,38032
1,209,38335
1,209,38359
1,217,39606
1,217,39659
1,217,39684
1,219,40040
1,219,40081
1,219,40089
1,219,40094
1,219,40092
1,219,40180
1,148,27137
1,149,27206
1,149,27203
1,149,27262
1,149,27310
1,151,27515
1,151,27602
1,151,27601
1,151,27626
1,151,27694
1,152,27783
1,152,27864
1,153,27971
1,153,28080
1,154,28172
1,154,28230
1,154,28254
1,154,28248
1,154,28296
1,155,28360
1,155,28401
1,156,28553
1,157,28715
1,157,28763
1,158,28829
1,158,28833
1,158,28839
1,158,28873
1,158,28872
1,158,28931
1,158,28940
1,158,28989
1,160,29207
1,161,29476
1,162,29631
1,162,29675
1,164,30013
1,164,30032
1,164,30051
1,165,30130
1,165,30144
1,165,30151
1,165,30195
1,165,30229
1,165,30270
1,165,30281
1,165,30282
1,166,30356
1,166,30408
1,167,30550
1,168,30724
1,175,31999
1,175,32003
1,175,32016
1,175,32070
1,175,32082
1,176,32110
1,176,32254
1,177,32320
1,177,32384
