run,lumi,evtid
1,249,248156
1,249,248172
1,249,248184
1,249,248221
1,249,248267
1,249,248330
1,249,248358
1,249,248364
1,249,248425
1,249,248501
1,249,248552
1,249,248907
1,249,248997
1,250,249028
1,250,249120
1,250,249149
1,250,249232
1,250,249281
1,250,249545
1,250,249567
1,250,249614
1,250,249612
1,250,249768
1,250,249905
1,250,249899
1,250,249994
1,251,250056
1,251,250087
1,251,250145
1,251,250288
1,251,250625
1,251,250667
1,251,250707
1,251,250778
1,251,250779
1,251,250974
1,252,251108
1,252,251154
1,252,251152
1,252,251203
1,252,251253
1,252,251331
1,252,251473
1,252,251532
1,252,251539
1,252,251583
1,252,251596
1,252,251958
1,257,256173
1,257,256200
1,257,256197
1,257,256290
1,257,256309
1,257,256401
1,257,256476
1,257,256705
1,257,256821
1,257,256869
1,258,257062
1,258,257063
1,258,257157
1,258,257248
1,258,257256
1,258,257377
1,258,257441
1,258,257438
1,258,257474
1,258,257542
1,258,257877
1,258,257898
1,258,257912
1,258,257947
1,258,257995
1,259,258057
1,259,258172
1,259,258310
1,259,258376
1,259,258436
1,259,258554
1,259,258569
1,259,258640
1,259,258666
1,259,258784
1,259,258805
1,259,258921
1,259,258944
1,260,259081
1,260,259227
1,260,259369
1,260,259513
1,260,259545
1,260,259553
1,260,259586
1,260,259747
1,260,259776
1,260,259833
1,115,114229
1,115,114256
1,115,114273
1,115,114351
1,115,114556
1,115,114609
1,115,114643
1,116,115010
1,116,115725
1,116,115724
1,116,115797
1,116,115886
1,116,115972
1,25,24015
1,25,24049
1,25,24068
1,25,24095
1,25,24270
1,25,24280
1,25,24377
1,25,24453
1,25,24546
1,25,24554
1,25,24637
1,25,24701
1,25,24703
1,25,24792
1,25,24879
1,25,24939
1,25,24981
1,26,25026
1,26,25141
1,26,25162
1,26,25203
1,26,25236
1,26,25300
1,26,25449
1,26,25483
1,26,25522
1,26,25771
1,26,25824
1,26,25919
1,27,26040
1,27,26056
1,27,26054
1,27,26055
1,27,26198
1,27,26363
1,27,26434
1,27,26467
1,27,26500
1,27,26525
1,27,26606
1,27,26636
1,27,26776
1,27,26867
1,27,26881
1,27,26933
1,28,27053
1,28,27082
1,28,27260
1,28,27546
1,28,27623
1,28,27663
1,28,27698
1,28,27743
1,28,27763
1,28,27776
1,28,27793
1,28,27916
1,28,27975
1,37,36037
1,37,36110
1,37,36208
1,37,36204
1,37,36240
1,37,36254
1,37,36313
1,37,36421
1,37,36506
1,37,36586
1,37,36845
1,37,36899
1,37,36908
1,37,36945
1,38,37006
1,38,37044
1,38,37059
1,38,37076
1,38,37212
1,38,37317
1,38,37336
1,38,37346
1,38,37360
1,38,37433
1,38,37440
1,38,37614
1,38,37631
1,38,37694
1,38,37754
1,38,37770
1,38,37844
1,38,37858
1,38,37867
1,38,37978
1,39,38036
1,39,38270
1,39,38378
1,39,38484
1,39,38563
1,39,38611
1,39,38667
1,39,38683
1,39,38707
1,39,38719
1,39,38840
1,39,38918
1,40,39042
1,40,39054
1,40,39256
1,40,39424
1,40,39565
1,40,39654
1,40,39687
1,40,39732
1,40,39778
1,40,39784
1,40,39785
1,45,44250
1,45,44253
1,45,44318
1,45,44584
1,45,44714
1,45,44752
1,45,44772
1,45,44889
1,45,44923
1,45,44961
1,45,44987
1,46,45028
1,46,45105
1,46,45115
1,46,45170
1,46,45251
1,46,45351
1,46,45484
1,46,45609
1,46,45715
1,46,45743
1,46,45771
1,46,45833
1,46,45982
1,47,46204
1,47,46246
1,47,46274
1,47,46329
1,47,46383
1,47,46429
1,47,46459
1,47,46534
1,47,46747
1,47,46782
1,47,46787
1,47,46825
1,47,46910
1,47,46905
1,48,47080
1,48,47096
1,48,47134
1,48,47256
1,48,47277
1,48,47389
1,48,47516
1,48,47649
1,48,47701
1,48,47811
1,48,47857
1,48,47880
1,49,48275
1,49,48295
1,49,48354
1,49,48396
1,49,48431
1,49,48556
1,49,48565
1,49,48563
1,49,48930
1,49,48937
1,49,48995
1,50,49036
1,50,49086
1,50,49101
1,50,49100
1,50,49121
1,50,49140
1,50,49499
1,50,49635
1,50,49657
1,50,49905
1,50,49951
1,50,49965
1,51,50010
1,51,50177
1,51,50229
1,51,50318
1,51,50703
1,51,50784
1,51,50778
1,52,51001
1,52,51004
1,52,51304
1,52,51340
1,52,51396
1,52,51428
1,52,51641
1,52,51651
1,52,51654
1,52,51739
1,52,51892
1,52,51983
1,289,288053
1,289,288156
1,289,288310
1,289,288463
1,289,288505
1,289,288516
1,289,288556
1,289,288564
1,289,288712
1,290,289039
1,290,289082
1,290,289216
1,290,289277
1,290,289288
1,290,289490
1,290,289512
1,290,289538
1,290,289649
1,290,289715
1,290,289782
1,290,289879
1,290,289973
1,291,290051
1,291,290174
1,291,290299
1,291,290347
1,291,290380
1,291,290397
1,291,290428
1,291,290482
1,291,290682
1,291,290723
1,291,290776
1,291,290788
1,291,290813
1,291,290808
1,291,290832
1,291,290935
1,291,290973
1,292,291129
1,292,291246
1,292,291272
1,292,291284
1,292,291527
1,292,291639
1,292,291702
1,292,291712
1,292,291871
1,353,352070
1,353,352146
1,353,352197
1,353,352331
1,353,352386
1,353,352415
1,353,352491
1,353,352535
1,353,352541
1,353,352652
1,353,352688
1,354,353011
1,354,353073
1,354,353197
1,354,353293
