run,lumi,evtid
1,280,279159
1,280,279295
1,280,279462
1,280,279645
1,280,279697
1,280,279815
1,280,279841
1,280,279867
1,317,316069
1,317,316102
1,317,316257
1,317,316612
1,317,316793
1,317,316880
1,317,316890
1,317,316897
1,317,316929
1,318,317106
1,318,317453
1,318,317466
1,318,317514
1,318,317656
1,318,317859
1,318,317889
1,318,317923
1,319,318103
1,319,318213
1,319,318289
1,319,318336
1,319,318420
1,319,318440
1,319,318477
1,319,318726
1,319,318940
1,355,354074
1,355,354090
1,355,354259
1,355,354289
1,355,354395
1,355,354542
1,355,354543
1,355,354634
1,355,354632
1,355,354651
1,355,354929
1,356,355012
1,356,355254
1,356,355304
1,356,355333
1,356,355501
1,356,355704
1,356,355743
1,356,355923
1,356,355952
1,356,355968
1,370,369032
1,370,369052
1,370,369054
1,370,369155
1,370,369311
1,370,369314
1,370,369425
1,370,369877
1,370,369968
1,372,371040
1,372,371176
1,372,371481
1,372,371479
1,372,371509
1,372,371584
1,372,371610
1,372,371822
1,372,371967
1,377,376069
1,377,376332
1,377,376375
1,377,376411
1,377,376517
1,377,376701
1,377,376731
1,378,377146
1,378,377216
1,378,377478
1,378,377599
1,378,377902
1,379,378039
1,379,378296
1,379,378409
1,379,378511
1,379,378600
1,379,378699
1,379,378721
1,379,378845
1,380,379130
1,380,379383
1,380,379386
1,380,379462
1,380,379523
1,380,379587
1,380,379597
1,380,379613
1,380,379661
1,380,379685
1,380,379719
1,380,379726
1,380,379798
1,380,379870
1,380,379891
1,380,379940
1,457,456014
1,457,456370
1,457,456426
1,457,456556
1,457,456764
1,457,456771
1,458,457124
1,458,457102
1,458,457357
1,458,457368
1,458,457794
1,458,457813
1,458,457925
1,459,458215
1,459,458303
1,459,458397
1,459,458444
1,459,458538
1,459,458545
1,459,458577
1,459,458599
1,459,458757
1,459,458782
1,459,458972
1,460,459180
1,460,459395
1,460,459587
1,460,459700
1,460,459976
1,489,488024
1,489,488066
1,489,488102
1,489,488236
1,489,488581
1,489,488632
1,489,488682
1,489,488806
1,490,489063
1,490,489171
1,490,489370
1,490,489430
1,490,489450
1,490,489521
1,490,489681
1,490,489739
1,490,489784
1,490,489815
1,490,489819
1,490,489829
1,490,489889
1,491,490151
1,491,490266
1,491,490312
1,491,490392
1,491,490426
1,491,490803
1,491,490996
1,491,491000
1,492,491048
1,492,491120
1,492,491239
1,492,491345
1,492,491342
1,492,491408
1,492,491451
1,492,491532
1,492,491524
1,492,491585
1,492,491625
1,321,320002
1,321,320171
1,321,320774
1,321,320912
1,322,321050
1,322,321041
1,322,321153
1,322,321226
1,322,321308
1,322,321326
1,322,321346
1,322,321493
1,322,321585
1,322,321724
1,322,321814
1,322,321848
1,323,322034
1,323,322079
1,323,322135
1,323,322352
1,323,322413
1,323,322555
1,323,322578
1,323,322666
1,323,322824
1,324,323298
1,324,323790
1,337,336137
1,337,336160
1,337,336279
1,337,336275
1,337,336427
1,337,336968
1,338,337038
1,338,337117
1,338,337145
1,338,337387
1,338,337597
1,338,337605
1,338,337669
1,338,337732
1,338,337840
1,338,337952
1,339,338145
1,339,338169
1,339,338301
1,339,338407
1,339,338488
1,339,338770
1,340,339088
1,340,339191
1,340,339240
1,340,339248
1,340,339359
1,340,339427
1,340,339473
1,340,339484
1,340,339543
1,340,339553
1,340,339580
1,340,339606
1,340,339673
1,340,339766
1,340,339815
1,340,339923
1,340,339980
1,461,460006
1,461,460022
1,461,460136
1,461,460284
1,461,460391
1,461,460624
1,461,460823
1,461,460824
1,461,460985
1,461,460989
1,462,461135
1,462,461171
1,462,461200
1,462,461448
1,462,461477
1,462,461540
1,462,461900
1,462,461984
1,463,462029
1,463,462079
1,463,462192
1,463,462199
1,463,462297
1,463,462295
1,463,462336
1,463,462444
1,463,462485
1,463,462569
1,463,462688
1,463,462711
1,463,462895
1,464,463090
1,464,463261
1,464,463271
1,464,463278
1,464,463373
1,464,463378
1,464,463581
1,464,463597
1,464,463813
1,464,463827
1,464,463974
1,464,463971
1,464,463977
1,117,116077
1,117,116097
1,117,116239
1,117,116253
1,117,116286
1,117,116374
1,117,116499
1,117,116523
1,118,117006
1,118,117196
1,118,117295
1,118,117292
1,118,117343
1,118,117474
1,118,117584
1,118,117611
1,118,117842
1,119,118003
1,119,118184
1,119,118318
1,119,118437
1,119,118551
1,119,118577
1,119,118626
1,119,118976
1,119,118981
1,120,119094
1,120,119179
1,120,119220
1,120,119364
1,120,119468
1,120,119479
1,120,119591
1,129,128198
1,129,128292
1,129,128346
1,129,128427
1,129,128489
1,129,128789
1,129,128902
1,129,128965
1,130,129236
1,130,129475
1,130,129656
1,130,129722
1,131,130027
1,131,130115
1,131,130238
1,131,130261
1,131,130405
1,131,130738
1,131,130901
1,131,130904
1,132,131044
1,132,131069
1,132,131080
1,132,131132
1,132,131251
1,132,131283
1,132,131320
1,132,131396
1,132,131555
1,132,131584
1,132,131590
1,132,131677
1,132,131783
1,132,131785
1,132,131882
1,145,144131
1,145,144741
1,145,144764
1,145,144817
1,145,144963
1,145,144958
1,146,145001
1,146,145016
1,146,145018
1,146,145026
1,146,145075
1,146,145211
1,146,145274
1,146,145346
1,146,145562
1,146,145572
1,146,145605
1,146,145658
1,146,145780
1,146,145933
1,147,146145
1,147,146169
1,147,146426
1,147,146555
1,147,146597
1,147,146790
1,147,146782
1,147,146859
1,147,146884
1,147,146888
1,147,146967
1,148,147031
1,148,147249
1,148,147273
1,148,147293
1,148,147440
1,148,147512
1,148,147861
1,396,395027
1,396,395029
1,396,395174
1,396,395171
1,396,395420
1,396,395458
1,396,395609
1,396,395605
1,396,395622
1,396,395780
1,396,395874
1,433,432029
1,433,432057
1,433,432076
1,433,432101
1,433,432329
1,433,432564
1,433,432595
1,433,432635
1,433,432715
1,433,432759
1,433,432778
1,433,432826
1,433,432845
1,433,432838
1,433,432859
1,434,433038
1,434,433224
1,434,433219
1,434,433289
1,434,433337
1,434,433562
1,435,434010
1,435,434091
1,435,434188
1,435,434261
1,435,434290
1,435,434513
1,435,434566
1,435,434595
1,435,434588
1,435,434597
1,435,434724
1,435,434732
1,436,435086
1,436,435262
1,436,435310
1,436,435333
1,436,435399
1,436,435604
1,436,435642
1,436,435721
1,436,435834
1,436,435851
1,436,435943
1,436,435992
1,445,444346
1,445,444657
1,445,444745
1,446,445182
1,446,445854
1,447,446109
1,447,446184
1,447,446214
1,447,446317
1,447,446434
1,447,446662
1,447,446711
1,447,446776
1,447,446863
