,run,lumi,evtid
7,1,249,248364
11,1,249,248907
17,1,250,249281
18,1,250,249545
24,1,250,249899
33,1,251,250778
34,1,251,250779
45,1,252,251583
49,1,257,256200
50,1,257,256197
53,1,257,256401
54,1,257,256476
56,1,257,256821
65,1,258,257438
71,1,258,257947
75,1,259,258310
77,1,259,258436
86,1,260,259081
89,1,260,259513
91,1,260,259553
96,1,115,114229
97,1,115,114256
105,1,116,115724
106,1,116,115797
107,1,116,115886
108,1,116,115972
112,1,25,24095
119,1,25,24637
120,1,25,24701
121,1,25,24703
130,1,26,25236
132,1,26,25449
134,1,26,25522
135,1,26,25771
136,1,26,25824
137,1,26,25919
144,1,27,26434
145,1,27,26467
150,1,27,26776
154,1,28,27053
160,1,28,27698
163,1,28,27776
165,1,28,27916
169,1,37,36208
170,1,37,36204
171,1,37,36240
174,1,37,36421
177,1,37,36845
179,1,37,36908
185,1,38,37212
188,1,38,37346
190,1,38,37433
192,1,38,37614
200,1,38,37978
202,1,39,38270
205,1,39,38563
207,1,39,38667
208,1,39,38683
209,1,39,38707
211,1,39,38840
214,1,40,39054
215,1,40,39256
219,1,40,39687
220,1,40,39732
223,1,40,39785
226,1,45,44318
233,1,45,44961
238,1,46,45170
239,1,46,45251
255,1,47,46534
256,1,47,46747
258,1,47,46787
259,1,47,46825
260,1,47,46910
261,1,47,46905
262,1,48,47080
263,1,48,47096
264,1,48,47134
266,1,48,47277
268,1,48,47516
269,1,48,47649
277,1,49,48396
281,1,49,48563
286,1,50,49086
288,1,50,49100
289,1,50,49121
290,1,50,49140
291,1,50,49499
299,1,51,50229
300,1,51,50318
301,1,51,50703
309,1,52,51428
314,1,52,51892
315,1,52,51983
316,1,289,288053
317,1,289,288156
318,1,289,288310
321,1,289,288516
324,1,289,288712
327,1,290,289216
330,1,290,289490
331,1,290,289512
333,1,290,289649
338,1,291,290051
342,1,291,290380
350,1,291,290813
354,1,291,290973
357,1,292,291272
372,1,353,352541
374,1,353,352688
379,1,354,353292
380,1,354,353379
381,1,354,353491
383,1,354,353839
384,1,354,353878
387,1,369,368140
390,1,369,368434
394,1,369,368667
396,1,371,370048
398,1,371,370152
405,1,371,370528
408,1,371,370626
409,1,371,370885
410,1,150,149011
417,1,150,149356
421,1,150,149617
427,1,151,150102
430,1,151,150391
431,1,151,150430
433,1,151,150489
442,1,152,151466
443,1,152,151491
448,1,152,151979
454,1,181,180461
455,1,181,180474
463,1,182,181014
472,1,182,181341
474,1,182,181602
475,1,182,181654
477,1,182,181797
478,1,182,181930
492,1,183,182951
498,1,184,183328
519,1,278,277080
520,1,278,277086
522,1,278,277299
523,1,278,277384
525,1,278,277548
532,1,278,277776
539,1,279,278731
543,1,293,292279
548,1,293,292829
552,1,293,292975
559,1,294,293282
563,1,294,293586
566,1,294,293730
567,1,294,293846
569,1,294,293997
571,1,295,294059
576,1,295,294404
578,1,295,294664
580,1,295,294686
586,1,296,295090
596,1,320,319035
600,1,320,319180
603,1,320,319586
608,1,333,332056
611,1,333,332186
617,1,333,332676
622,1,334,333601
628,1,334,333810
631,1,334,333983
636,1,335,334470
637,1,335,334560
638,1,335,334599
640,1,335,334903
641,1,335,334996
642,1,149,148063
644,1,149,148155
646,1,149,148229
652,1,149,148744
655,1,149,148867
657,1,237,236006
660,1,237,236426
670,1,238,237053
674,1,238,237511
680,1,239,238095
682,1,239,238285
683,1,239,238449
687,1,239,238702
689,1,239,238738
691,1,239,238811
692,1,239,238840
696,1,240,239471
703,1,240,239729
712,1,336,335878
717,1,321,320136
720,1,321,320980
727,1,322,321382
733,1,322,321941
739,1,323,322542
744,1,324,323021
745,1,324,323293
747,1,324,323339
748,1,324,323445
749,1,324,323515
750,1,324,323704
753,1,337,336239
757,1,337,336511
758,1,337,336848
759,1,337,336892
766,1,338,337654
769,1,338,337806
772,1,338,337940
775,1,339,338239
790,1,340,339573
794,1,340,339719
796,1,340,339785
803,1,461,460320
805,1,461,460400
808,1,461,460856
814,1,462,461222
815,1,462,461275
816,1,462,461376
820,1,462,461569
821,1,462,461770
822,1,462,461816
832,1,463,462500
836,1,464,463022
839,1,464,463258
846,1,464,463734
854,1,101,100471
858,1,101,100892
878,1,103,102096
880,1,103,102322
886,1,103,102564
888,1,103,102818
890,1,104,103021
896,1,104,103253
902,1,104,103814
907,1,121,120026
914,1,121,120909
917,1,122,121245
927,1,122,121841
928,1,122,121909
943,1,124,123152
945,1,124,123305
946,1,124,123386
947,1,124,123398
953,1,124,123681
955,1,124,123809
956,1,124,123969
959,1,153,152287
960,1,153,152338
961,1,153,152695
968,1,154,153475
973,1,154,153873
975,1,155,154020
980,1,155,154294
981,1,155,154317
983,1,155,154537
988,1,155,154657
989,1,155,154829
993,1,156,155434
996,1,156,155580
997,1,156,155688
1007,1,161,160842
1011,1,162,161351
1017,1,162,161704
1022,1,162,161874
1026,1,163,162266
1030,1,163,162525
1032,1,163,162694
1034,1,163,162783
1037,1,164,163109
1046,1,164,163969
1051,1,157,156492
1052,1,157,156599
1053,1,157,156612
1062,1,158,157132
1063,1,158,157184
1065,1,158,157289
1066,1,158,157600
1071,1,160,159088
1073,1,160,159236
1076,1,160,159483
1083,1,160,159756
1086,1,160,159960
1087,1,192,191021
1088,1,192,191026
1089,1,192,191039
1090,1,192,191048
1091,1,192,191189
1105,1,350,349194
1106,1,350,349275
