,run,lumi,evtid
31,1,319,318477
32,1,319,318726
45,1,356,355012
47,1,356,355304
54,1,356,355968
82,1,378,377478
86,1,379,378296
94,1,380,379383
108,1,380,379940
127,1,459,458545
176,1,492,491585
180,1,321,320774
186,1,322,321308
205,1,337,336137
214,1,338,337387
241,1,340,339815
249,1,461,460624
263,1,463,462079
266,1,463,462297
271,1,463,462569
297,1,118,117196
298,1,118,117295
301,1,118,117474
312,1,119,118976
314,1,120,119094
331,1,130,129656
344,1,132,131132
348,1,132,131396
356,1,145,144131
377,1,147,146169
378,1,147,146426
388,1,148,147249
393,1,148,147861
408,1,433,432101
425,1,434,433562
433,1,435,434595
446,1,436,435834
486,1,55,54232
487,1,55,54273
493,1,55,54704
516,1,345,344553
521,1,345,344748
530,1,347,346891
564,1,391,390508
591,1,467,466727
599,1,468,467579
609,1,361,360836
630,1,364,363025
633,1,364,363607
646,1,365,364931
656,1,366,365964
657,1,374,373005
687,1,250,249276
701,1,251,250799
713,1,252,251869
715,1,257,256131
720,1,257,256760
735,1,259,258051
737,1,259,258111
746,1,259,258879
749,1,260,259096
781,1,204,203678
816,1,215,214571
849,1,223,222433
854,1,224,223058
856,1,224,223368
865,1,241,240250
873,1,242,241318
894,1,244,243935
895,1,244,243934
904,1,385,384981
922,1,387,386803
979,1,65,64779
984,1,66,65027
988,1,66,65220
1017,1,105,104747
1024,1,106,105311
1048,1,108,107643
1073,1,187,186846
1079,1,188,187501
1081,1,233,232006
1107,1,236,235091
1111,1,236,235664
1130,1,169,168942
1145,1,171,170203
1148,1,171,170552
1197,1,404,403429
1200,1,404,403625
1216,1,330,329865
1238,1,474,473012
1245,1,474,473830
1260,1,476,475518
1261,1,476,475615
1283,1,210,209976
1292,1,211,210664
1313,1,218,217885
1316,1,218,217958
1317,1,219,218088
1319,1,219,218220
1337,1,313,312500
1372,1,358,357041
1374,1,358,357339
1377,1,358,357874
1401,1,178,177634
1413,1,179,178943
1437,1,478,477616
1444,1,479,478516
1458,1,21,20222
1461,1,21,20682
1462,1,21,20729
1468,1,22,21328
1474,1,22,21966
1530,1,282,281923
1554,1,297,296846
1583,1,34,33417
1616,1,41,40461
1622,1,41,40897
1631,1,42,41386
1640,1,43,42145
1660,1,58,57644
1661,1,58,57660
1662,1,58,57714
1679,1,60,59290
1706,1,79,78097
1711,1,79,78592
1742,1,62,61893
1756,1,64,63491
1819,1,88,87820
1835,1,198,197452
1842,1,199,198395
1855,1,405,404142
1858,1,405,404314
1876,1,407,406349
1892,1,408,407934
1899,1,413,412271
1904,1,414,413133
1909,1,414,413757
1911,1,414,413867
1913,1,415,414248
1927,1,417,416212
1945,1,418,417880
1953,1,419,418386
1971,1,421,420447
1980,1,422,421350
1982,1,422,421379
1983,1,422,421410
1992,1,423,422221
1998,1,424,423204
2010,1,449,448392
2021,1,450,449881
2036,1,452,451668
2037,1,452,451776
2042,1,485,484304
2045,1,485,484814
2063,1,487,486488
2067,1,488,487251
2077,1,89,88709
2083,1,90,89929
2085,1,90,89982
2100,1,92,91039
2118,1,94,93719
2140,1,98,97373
2147,1,99,98274
2183,1,382,381844
2185,1,382,381879
2200,1,384,383288
2216,1,429,428785
2227,1,430,429538
2234,1,431,430008
2243,1,431,430991
2250,1,432,431825
2289,1,440,439694
2303,1,206,205306
2319,1,207,206606
2347,1,226,225261
2356,1,227,226316
2371,1,228,227750
2373,1,228,227754
2384,1,256,255518
2418,1,271,270760
2422,1,272,271063
2465,1,230,229006
2466,1,230,229017
2472,1,230,229453
2473,1,230,229512
2494,1,232,231313
2500,1,253,252070
2503,1,253,252638
2518,1,254,253887
2526,1,255,254448
2529,1,255,254554
2532,1,255,254675
2549,1,134,133493
2561,1,135,134442
2577,1,165,164191
2589,1,166,165337
2605,1,168,167747
2636,1,248,247732
2663,1,267,266963
2683,1,137,136671
2688,1,138,137077
2696,1,139,138056
2721,1,453,452822
2727,1,454,453174
2738,1,456,455212
2774,1,142,141891
2783,1,144,143542
2796,1,426,425009
2800,1,426,425483
2803,1,426,425907
2827,1,17,16559
2842,1,18,17963
2856,1,20,19270
2862,1,20,19848
2863,1,20,19871
2907,1,261,260849
2915,1,262,261819
2941,1,397,396538
2942,1,397,396577
2943,1,397,396760
2944,1,397,396911
2957,1,399,398250
2963,1,400,399304
3004,1,304,303931
3022,1,75,74026
3048,1,82,81067
3102,1,111,110555
3133,1,193,192500
3134,1,193,192510
3137,1,193,192773
3140,1,193,192949
3161,1,195,194691
3173,1,469,468024
3174,1,469,468054
3176,1,469,468202
3177,1,469,468221
3185,1,470,469684
3219,1,2,1189
3221,1,2,1342
3230,1,2,1982
3233,1,3,2361
3240,1,4,3103
3242,1,4,3338
3276,1,7,6781
3292,1,10,9002
3295,1,10,9073
3297,1,10,9236
3329,1,13,12741
3342,1,15,14891
3348,1,16,15565
3350,1,16,15899
3358,1,497,496516
3365,1,498,497320
3373,1,498,497717
3377,1,499,498018
3378,1,499,498092
3397,1,25,24351
3426,1,28,27096
3440,1,37,36518
3469,1,40,39677
3472,1,45,44231
3479,1,45,44814
3483,1,46,45004
3488,1,46,45342
3499,1,47,46298
3504,1,47,46781
3507,1,48,47342
3571,1,292,291312
3585,1,353,352604
3592,1,354,353849
3610,1,371,370784
3642,1,181,180300
3668,1,183,182371
3672,1,183,182531
3688,1,184,183840
3720,1,293,292076
3722,1,293,292313
3747,1,295,294434
3767,1,320,319179
3770,1,320,319674
3774,1,320,319878
3785,1,334,333006
3795,1,335,334138
3800,1,335,334679
3802,1,335,334879
3821,1,237,236675
3839,1,239,238856
3851,1,336,335091
3862,1,115,114330
3889,1,410,409943
3894,1,412,411169
3903,1,101,100833
3946,1,121,120122
3948,1,121,120470
3958,1,122,121478
3998,1,154,153882
4000,1,155,154073
4011,1,155,154998
4017,1,156,155761
4021,1,161,160252
4025,1,161,160344
4028,1,161,160744
4036,1,162,161572
4061,1,157,156196
4079,1,160,159173
4106,1,350,349494
4121,1,351,350914
4194,1,441,440450
4210,1,442,441990
4213,1,444,443633
4218,1,493,492611
4229,1,494,493908
4234,1,495,494241
4236,1,495,494359
4265,1,173,172372
4273,1,174,173772
4274,1,174,173868
4280,1,175,174168
4288,1,175,174970
4323,1,275,274271
4325,1,275,274395
4337,1,285,284049
4364,1,287,286998
4375,1,288,287893
4408,1,483,482390
4417,1,484,483393
4425,1,325,324903
4452,1,327,326945
4454,1,328,327105
4455,1,328,327104
4467,1,341,340439
4481,1,343,342081
4482,1,343,342239
4487,1,343,342639
4489,1,343,342868
4495,1,367,366013
4509,1,368,367357
4513,1,373,372210
4521,1,373,372985
4530,1,376,375720
